Gid	Name	CPM-nCoV1	CPM-nCoV2	CPM-Ctrl1	CPM-Ctrl2	CPM-Ctrl3	baseMean(Counts)	log2FoldChange	lfcSE	stat	pvalue	padj	Tag
ENSG00000225972.1	MTND1P23	30.6	19.38	0.54	0.38	0.37	152.07	7.36	0.5	14.57	0.00E+00	0.00E+00	Up
ENSG00000225630.1	MTND2P28	323.14	484.82	93.52	1.75	94.75	2332.1	4.07	1.01	4.02	1.00E-04	3.00E-04	NC
ENSG00000237973.1	MTCO1P12	194.62	227.26	46.43	46.4	50.46	1255.24	3.56	0.25	14.1	0.00E+00	0.00E+00	Up
ENSG00000229344.1	MTCO2P12	10.61	11.28	0.69	0.96	0.58	74.76	5.5	0.6	9.23	0.00E+00	0.00E+00	Up
ENSG00000248527.1	MTATP6P1	2800.99	2344.14	323.19	126.89	123.95	13859.8	5.09	0.39	13.15	0.00E+00	0.00E+00	Up
ENSG00000198744.5	MTCO3P12	17.14	22.55	1.9	0.86	0.99	150.72	5.81	0.83	7.02	0.00E+00	0.00E+00	Up
ENSG00000228794.9	LINC01128	14.69	5.64	12.68	15.18	10.7	62.78	0.79	0.44	1.79	7.27E-02	1.36E-01	NC
ENSG00000187608.10	ISG15	122.81	220.21	83.82	89.46	71.08	1041.55	2.43	0.4	6.09	0.00E+00	0.00E+00	NC
ENSG00000078808.17	SDF4	5.71	6.34	189.88	168.01	179.18	319.48	-3.41	0.43	-7.89	0.00E+00	0.00E+00	Down
ENSG00000160087.20	UBE2J2	5.71	10.22	42.16	35.11	40.22	97.54	-1.09	0.57	-1.91	5.67E-02	1.11E-01	NC
ENSG00000127054.20	INTS11	9.38	5.29	75.16	65.45	69.13	140.93	-2.02	0.3	-6.64	0.00E+00	0.00E+00	NC
ENSG00000175756.13	AURKAIP1	12.24	21.14	37.83	30.72	35.95	135.71	0.21	0.4	0.51	6.12E-01	7.60E-01	NC
ENSG00000221978.12	CCNL2	53.86	14.45	158	161.47	158.63	422.16	-0.94	0.49	-1.94	5.29E-02	1.04E-01	NC
ENSG00000242485.6	MRPL20	33.05	20.08	49.92	47.48	51.62	209.7	0.37	0.17	2.18	2.93E-02	6.49E-02	NC
ENSG00000160075.12	SSU72	66.51	54.97	119.95	111.97	136.56	485.21	0.24	0.18	1.33	1.82E-01	2.92E-01	NC
ENSG00000228594.4	FNDC10	7.34	1.41	14.63	11.93	11.98	40.38	-0.34	0.46	-0.75	4.50E-01	6.11E-01	NC
ENSG00000248333.8	CDK11B	8.57	4.58	36.07	31.8	33.74	94.53	-0.91	0.47	-1.95	5.16E-02	1.02E-01	NC
