"Gene.stable.ID","Transcript.stable.ID"
"ENSG00000228318","ENST00000411427"
"ENSG00000204261","ENST00000412095"
"ENSG00000204261","ENST00000413039"
"ENSG00000236098","ENST00000414039"
"ENSG00000204261","ENST00000415067"
"ENSG00000225472","ENST00000416996"
"ENSG00000236849","ENST00000423171"
"ENSG00000204261","ENST00000429600"
"ENSG00000231187","ENST00000430188"
"ENSG00000234614","ENST00000434182"
"ENSG00000225472","ENST00000440947"
"ENSG00000234290","ENST00000443093"
"ENSG00000225963","ENST00000445199"
"ENSG00000236849","ENST00000449235"
"ENSG00000204261","ENST00000453426"
"ENSG00000225963","ENST00000454058"
"ENSG00000204261","ENST00000458296"
"ENSG00000258461","ENST00000483208"
"ENSG00000245556","ENST00000513755"
"ENSG00000253806","ENST00000519782"
"ENSG00000232995","ENST00000526176"
"ENSG00000255139","ENST00000531108"
"ENSG00000255139","ENST00000531311"
"ENSG00000257337","ENST00000546566"
"ENSG00000257509","ENST00000547009"
"ENSG00000257337","ENST00000550601"
"ENSG00000261488","ENST00000563632"
"ENSG00000261687","ENST00000565685"
"ENSG00000234327","ENST00000571138"
"ENSG00000263069","ENST00000572151"
"ENSG00000263165","ENST00000573371"
"ENSG00000263069","ENST00000573394"
"ENSG00000262112","ENST00000574826"
"ENSG00000263069","ENST00000575034"
"ENSG00000263731","ENST00000582866"
"ENSG00000266049","ENST00000583546"
"ENSG00000267436","ENST00000589360"
"ENSG00000267607","ENST00000589379"
"ENSG00000267387","ENST00000589622"
"ENSG00000269481","ENST00000593957"
"ENSG00000225963","ENST00000594622"
"ENSG00000225963","ENST00000595586"
"ENSG00000269053","ENST00000597028"
"ENSG00000225963","ENST00000600787"
"ENSG00000271646","ENST00000605834"
"ENSG00000272463","ENST00000606285"
"ENSG00000273374","ENST00000608028"
"ENSG00000272769","ENST00000608279"
"ENSG00000225963","ENST00000609120"
"ENSG00000206941","ENST00000384214"
"ENSG00000277194","ENST00000384756"
"ENSG00000207181","ENST00000384452"
"ENSG00000207168","ENST00000384439"
"ENSG00000207493","ENST00000384762"
"ENSG00000207008","ENST00000384281"
"ENSG00000273525","ENST00000622631"
"ENSG00000265185","ENST00000631292"
"ENSG00000254838","ENST00000531871"
"ENSG00000208772","ENST00000386037"
"ENSG00000206597","ENST00000383870"
"ENSG00000202354","ENST00000365484"
"ENSG00000252316","ENST00000516507"
"ENSG00000168961","ENST00000467111"
"ENSG00000258791","ENST00000649691"
"ENSG00000258791","ENST00000649892"
"ENSG00000110446","ENST00000541505"
"ENSG00000130066","ENST00000489394"
"ENSG00000263069","ENST00000575034"
"ENSG00000108342","ENST00000331769"
"ENSG00000121858","ENST00000241261"
"ENSG00000235540","ENST00000434564"
"ENSG00000233089","ENST00000442671"
"ENSG00000204261","ENST00000429600"
"ENSG00000233140","ENST00000425302"
"ENSG00000234365","ENST00000456226"
"ENSG00000206232","ENST00000432582"
"ENSG00000231591","ENST00000424715"
"ENSG00000206296","ENST00000444824"
"ENSG00000235540","ENST00000421458"
"ENSG00000233089","ENST00000455129"
