tracking_id	Pos	Strand	Length	HV-2_COUNT	HV-4_COUNT	HV-6_COUNT	con-3_COUNT	con-4_COUNT	con-5_COUNT	HV-2_RPKM	HV-4_RPKM	HV-6_RPKM	con-3_RPKM	con-4_RPKM	con-5_RPKM
TCONS_00003860	chr1:144087971-144088387	+	417	10	2	10	8	2	0	416.11	131.835	573.91	316.37	109.647	0
TCONS_00004061	chr1:149295114-149295603	+	490	12	0	1	0	0	0	424.941	0	48.8409	0	0	0
TCONS_00004229	chr1:152139910-152140424	+	515	13	0	0	0	0	0	438.006	0	0	0	0	0
TCONS_00004611	chr1:159748318-159748722	+	405	7	0	6	0	4	0	299.907	0	354.549	0	225.791	0
TCONS_00004620	chr1:159833397-159833763	+	367	9	0	4	2	1	0	425.52	0	260.84	89.8679	62.2924	0
TCONS_00004621	chr1:159834040-159834663	+	624	13	4	5	12	1	0	361.495	176.203	191.763	317.13	36.6367	0
TCONS_00004829	chr1:162599087-162599288	+	202	10	0	0	0	0	0	858.999	0	0	0	0	0
TCONS_00004841	chr1:162791712-162791979	+	268	13	0	0	0	0	3	841.69	0	0	0	0	272.089
TCONS_00004892	chr1:166151387-166151932	+	546	11	1	0	5	3	0	349.578	50.3436	0	151.014	125.612	0
TCONS_00005115	chr1:173460390-173461044	+	655	10	0	2	12	3	0	264.913	0	73.0749	302.121	104.708	0
TCONS_00005314	chr1:179892047-179892697	+	651	12	2	9	0	6	1	319.848	84.4474	330.858	0	210.703	37.3374
TCONS_00005325	chr1:180172239-180172732	+	494	10	3	2	8	12	4	351.25	166.929	96.8908	267.057	555.336	196.815
TCONS_00005490	chr1:186447115-186447719	+	605	14	5	2	10	2	0	401.529	227.171	79.1142	272.575	75.5746	0
TCONS_00005492	chr1:186468695-186468942	+	248	10	1	1	2	0	0	699.668	110.837	96.5001	132.99	0	0
TCONS_00005493	chr1:186472201-186472971	+	771	15	1	0	2	5	0	337.583	35.6519	0	42.7776	148.258	0
TCONS_00005494	chr1:186489657-186490052	+	396	11	1	3	4	1	0	481.994	69.4132	181.303	166.573	57.7306	0
TCONS_00005528	chr1:191474854-191475433	+	580	15	0	0	0	0	0	448.753	0	0	0	0	0
TCONS_00005529	chr1:191641587-191641893	+	307	11	0	0	0	0	0	621.725	0	0	0	0	0
TCONS_00005568	chr1:195832106-195832326	+	221	5	0	0	0	0	0	392.574	0	0	0	0	0
TCONS_00005763	chr1:202946037-202946275	+	239	10	0	0	0	1	0	726.016	0	0	0	95.6541	0
TCONS_00005901	chr1:206490531-206490848	+	318	16	7	6	4	6	9	873.045	605.074	451.548	207.431	431.346	687.924
TCONS_00005904	chr1:206514435-206514861	+	427	15	5	8	1	3	7	609.547	321.869	448.375	38.6201	160.618	398.47
TCONS_00005928	chr1:206675090-206675869	+	780	20	11	9	5	8	7	444.917	387.646	276.139	105.71	234.475	218.137
TCONS_00005942	chr1:206910766-206911402	+	637	22	2	5	10	5	2	599.276	86.3034	187.85	258.882	179.445	76.316
TCONS_00005943	chr1:206913318-206913670	+	353	11	4	4	0	5	9	540.707	311.475	271.185	0	323.815	619.716
TCONS_00005975	chr1:207548395-207549016	+	622	10	1	0	4	9	1	278.967	44.1923	0	106.05	330.791	39.0782
TCONS_00005994	chr1:208133168-208133784	+	617	11	0	0	9	1	0	309.351	0	0	240.546	37.0524	0
