test_id,gene_id,gene,locus,isoform_status,CIML,MIML,log2FoldChange,p_value,q_value,significant
ENSMUST00000181323,ENSMUSG00000097417,Gm26669,12:80107753-80113013,lncRNA_annotated,20.4061,7.51569,1.44102,5.00E-05,0.00091007,Up
ENSMUST00000181253,ENSMUSG00000097451,Rian,12:109603939-109661716,lncRNA_annotated,78.1949,172.886,-1.14468,5.00E-05,0.00091007,Down
ENSMUST00000181224,ENSMUSG00000097415,AU020206,7:75769761-75782099,lncRNA_annotated,22.2999,0.381443,5.86942,5.00E-05,0.00091007,Up
ENSMUST00000181535,ENSMUSG00000097767,Miat,5:112213227-112233720,lncRNA_annotated,9.32849,26.2791,-1.4942,5.00E-05,0.00091007,Down
ENSMUST00000180863,ENSMUSG00000097815,Gm26809,6:18844219-18848207,lncRNA_annotated,21.1749,6.27352,1.75501,5.00E-05,0.00091007,Up
ENSMUST00000172501,ENSMUSG00000092203,1110038B12Rik,17:34950237-34952471,lncRNA_annotated,26.6543,5.93574,2.16687,5.00E-05,0.00091007,Up
ENSMUST00000174287,ENSMUSG00000092274,Neat1,19:5842306-5845476,lncRNA_annotated,41.3273,10.6034,1.96257,5.00E-05,0.00091007,Up
ENSMUST00000198159,ENSMUSG00000104955,1700016F12Rik,5:96849504-96852938,lncRNA_annotated,1.90897,0,inf,5.00E-05,0.00091007,Up
ENSMUST00000182639,ENSMUSG00000066057,Gm1976,17:94759943-94834799,lncRNA_annotated,6.65241,17.5199,-1.39705,5.00E-05,0.00091007,Down
ENSMUST00000182520,ENSMUSG00000097971,Gm26917,17:39845073-39846245,lncRNA_annotated,83.8176,45.9151,0.868285,5.00E-05,0.00091007,Up
ENSMUST00000190080,ENSMUSG00000064043,Trerf1,17:47140874-47361958,lncRNA_annotated,3.24978,6.89183,-1.08454,5.00E-05,0.00091007,Down
ENSMUST00000189594,ENSMUSG00000100147,1700047M11Rik,1:182287989-182303325,lncRNA_annotated,1.07897,3.58733,-1.73326,5.00E-05,0.00091007,Down
ENSMUST00000131787,ENSMUSG00000086841,2410006H16Rik,11:62602876-62604807,lncRNA_annotated,138.237,39.1115,1.82148,5.00E-05,0.00091007,Up
ENSMUST00000131345,ENSMUSG00000086968,4933431E20Rik,3:107877228-107898686,lncRNA_annotated,6.7989,17.8015,-1.38863,5.00E-05,0.00091007,Down
ENSMUST00000145448,ENSMUSG00000085295,4930430E12Rik,4:6353614-6357530,lncRNA_annotated,3.17732,0,inf,5.00E-05,0.00091007,Up
ENSMUST00000071101,ENSMUSG00000056771,Gm10010,6:128187817-128200623,lncRNA_annotated,2.56952,8.38558,-1.70641,5.00E-05,0.00091007,Down
ENSMUST00000143673,ENSMUSG00000087107,AI662270,11:83223575-83226604,lncRNA_annotated,7.6228,0.188104,5.34072,5.00E-05,0.00091007,Up
ENSMUST00000139095,ENSMUSG00000084890,A830036E02Rik,11:99415665-99423098,lncRNA_annotated,1.67171,5.5753,-1.73773,5.00E-05,0.00091007,Down
ENSMUST00000156081,ENSMUSG00000086320,Gm12840,4:117700187-117700923,lncRNA_annotated,64.189,6.53904,3.29518,5.00E-05,0.00091007,Up
ENSMUST00000143272,ENSMUSG00000021268,Meg3,12:109541004-109571723,lncRNA_annotated,34.3421,77.8556,-1.18082,5.00E-05,0.00091007,Down
ENSMUST00000153581,ENSMUSG00000085438,1700020I14Rik,2:119594296-119607502,lncRNA_annotated,61.8664,119.664,-0.951758,5.00E-05,0.00091007,Down
ENSMUST00000169242,ENSMUSG00000091542,Gm17167,4:42206997-42235313,lncRNA_annotated,15.3467,30.8475,-1.00722,5.00E-05,0.00091007,Down
LNC_000045,XLOC_003661,-,1:124056463-124076523,lncRNA_Novel,0.523892,1.7343,-1.72701,5.00E-05,0.00091007,Down
